row,document_raw,document_digits,key_used,reason
514,,,0,Documento vazio
515,,,0,Documento vazio
516,,,0,Documento vazio
517,,,0,Documento vazio
518,,,0,Documento vazio
519,,,0,Documento vazio
520,,,0,Documento vazio
521,,,0,Documento vazio
522,,,0,Documento vazio
523,,,0,Documento vazio
524,,,0,Documento vazio
525,,,0,Documento vazio
526,,,0,Documento vazio
527,,,0,Documento vazio
528,,,0,Documento vazio
529,,,0,Documento vazio
530,,,0,Documento vazio
531,,,0,Documento vazio
532,,,0,Documento vazio
533,,,0,Documento vazio
534,,,0,Documento vazio
535,,,0,Documento vazio
536,,,0,Documento vazio
537,,,0,Documento vazio
538,,,0,Documento vazio
539,,,0,Documento vazio
540,,,0,Documento vazio
541,,,0,Documento vazio
542,,,0,Documento vazio
543,,,0,Documento vazio
544,,,0,Documento vazio
545,,,0,Documento vazio
546,,,0,Documento vazio
547,,,0,Documento vazio
548,,,0,Documento vazio
549,,,0,Documento vazio
550,,,0,Documento vazio
551,,,0,Documento vazio
552,,,0,Documento vazio
553,,,0,Documento vazio
554,,,0,Documento vazio
555,,,0,Documento vazio
556,,,0,Documento vazio
557,,,0,Documento vazio
558,,,0,Documento vazio
559,,,0,Documento vazio
560,,,0,Documento vazio
561,,,0,Documento vazio
562,,,0,Documento vazio
563,,,0,Documento vazio
564,,,0,Documento vazio
565,,,0,Documento vazio
566,,,0,Documento vazio
567,,,0,Documento vazio
568,,,0,Documento vazio
569,,,0,Documento vazio
570,,,0,Documento vazio
571,,,0,Documento vazio
572,,,0,Documento vazio
573,,,0,Documento vazio
574,,,0,Documento vazio
575,,,0,Documento vazio
576,,,0,Documento vazio
577,,,0,Documento vazio
578,,,0,Documento vazio
579,,,0,Documento vazio
580,,,0,Documento vazio
581,,,0,Documento vazio
582,,,0,Documento vazio
583,,,0,Documento vazio
584,,,0,Documento vazio
585,,,0,Documento vazio
586,,,0,Documento vazio
587,,,0,Documento vazio
588,,,0,Documento vazio
589,,,0,Documento vazio
590,,,0,Documento vazio
591,,,0,Documento vazio
592,,,0,Documento vazio
593,,,0,Documento vazio
594,,,0,Documento vazio
595,,,0,Documento vazio
596,,,0,Documento vazio
597,,,0,Documento vazio
598,,,0,Documento vazio
599,,,0,Documento vazio
600,,,0,Documento vazio
601,,,0,Documento vazio
602,,,0,Documento vazio
603,,,0,Documento vazio
604,,,0,Documento vazio
605,,,0,Documento vazio
606,,,0,Documento vazio
607,,,0,Documento vazio
608,,,0,Documento vazio
609,,,0,Documento vazio
610,,,0,Documento vazio
611,,,0,Documento vazio
612,,,0,Documento vazio
613,,,0,Documento vazio
614,,,0,Documento vazio
615,,,0,Documento vazio
616,,,0,Documento vazio
617,,,0,Documento vazio
618,,,0,Documento vazio
619,,,0,Documento vazio
620,,,0,Documento vazio
621,,,0,Documento vazio
622,,,0,Documento vazio
623,,,0,Documento vazio
624,,,0,Documento vazio
625,,,0,Documento vazio
626,,,0,Documento vazio
627,,,0,Documento vazio
628,,,0,Documento vazio
629,,,0,Documento vazio
630,,,0,Documento vazio
631,,,0,Documento vazio
632,,,0,Documento vazio
633,,,0,Documento vazio
634,,,0,Documento vazio
635,,,0,Documento vazio
636,,,0,Documento vazio
637,,,0,Documento vazio
638,,,0,Documento vazio
639,,,0,Documento vazio
640,,,0,Documento vazio
641,,,0,Documento vazio
642,,,0,Documento vazio
643,,,0,Documento vazio
644,,,0,Documento vazio
645,,,0,Documento vazio
646,,,0,Documento vazio
647,,,0,Documento vazio
648,,,0,Documento vazio
649,,,0,Documento vazio
650,,,0,Documento vazio
651,,,0,Documento vazio
652,,,0,Documento vazio
653,,,0,Documento vazio
654,,,0,Documento vazio
655,,,0,Documento vazio
656,,,0,Documento vazio
657,,,0,Documento vazio
658,,,0,Documento vazio
659,,,0,Documento vazio
660,,,0,Documento vazio
661,,,0,Documento vazio
662,,,0,Documento vazio
663,,,0,Documento vazio
664,,,0,Documento vazio
665,,,0,Documento vazio
666,,,0,Documento vazio
667,,,0,Documento vazio
668,,,0,Documento vazio
669,,,0,Documento vazio
670,,,0,Documento vazio
671,,,0,Documento vazio
672,,,0,Documento vazio
673,,,0,Documento vazio
674,,,0,Documento vazio
675,,,0,Documento vazio
676,,,0,Documento vazio
677,,,0,Documento vazio
678,,,0,Documento vazio
679,,,0,Documento vazio
680,,,0,Documento vazio
681,,,0,Documento vazio
682,,,0,Documento vazio
683,,,0,Documento vazio
